"C3L-02544-06","C3N-00518-01","C3L-00770-11","C3L-00586-03","93e30fd5-e57e-4503-a175-863c7d","C3L-00586-13","C3N-01179-05","C3N-01179-01","C3L-00583-06","C3N-03490-06","C3L-00981-06","C3L-02169-07","C3N-04176-09","C3N-01858-11","C3L-00136-13","C3N-01761-05","C3L-02809-04","C3L-01951-01","C3N-01505-01","C3N-03008-11"
11,15,11,6,4,0,19,7,17,13,14,9,24,0,22,10,4,31,11,0
974,1385,1156,1430,1106,619,583,1769,789,2066,643,610,946,745,960,1254,1539,1878,2736,1156
3444,7839,5742,7970,6378,3013,1772,9071,2763,7222,2680,3942,6581,5857,6821,6655,12330,7976,19824,4462
5516,6748,2912,4239,5514,1205,5066,8217,6078,1372,3868,3751,5353,2170,3472,2892,4753,11950,7488,324
7706,15753,6004,29823,11508,4464,5882,22016,8969,17034,5023,8270,10620,6428,4921,24257,11873,20743,8941,3207
9295,13310,5117,14456,14284,2254,6085,8135,10212,6991,6857,9020,9754,3223,1750,19157,8423,11602,16505,3692
3692,5642,5314,7447,8477,2707,2829,6167,4433,4338,2893,3996,5088,5494,4281,5482,5703,8157,7882,5746
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0
2022,2113,1553,2087,1973,643,1383,3202,2382,4280,1560,2180,2301,1144,210,2431,1780,3632,1026,569
2072,2105,2374,1564,5372,550,1132,3373,1563,1231,1138,4509,6425,1208,877,2488,1505,3593,3605,249
494,743,673,1287,1360,346,470,1175,682,581,444,686,936,329,722,1162,382,1613,1441,256
661,884,827,600,2010,144,219,3042,406,587,319,1487,1948,401,281,1551,931,2093,3757,196
1054,3058,667,720,1148,176,675,1444,1283,4627,1233,2650,4105,1567,264,3211,2408,1170,850,595
1326,750,1900,2305,2475,907,619,902,949,1320,917,811,1085,871,1265,1392,1397,941,1589,715
6657,11522,5223,10662,9772,2901,4866,8356,6894,4528,4267,7669,9349,4923,4277,6992,9013,11216,8481,6743
88,125,353,877,835,196,90,79,80,171,67,86,63,444,176,123,156,185,422,207
4299,3467,2243,5233,4736,735,2694,6274,3746,2833,3048,5748,5035,908,1812,2048,2699,3988,4754,731
907,1280,6116,3796,2962,1273,401,904,531,777,673,724,905,615,1527,1374,674,597,1920,1065
2295,2019,1855,1825,3176,791,1289,4840,2646,905,1496,1076,2050,1300,5344,5320,2663,4930,7663,1053
2637,1899,5288,3534,3955,1370,1544,2262,2160,2217,1952,1752,2492,2303,1443,2430,1476,2042,2049,2539
1199,1003,1312,1527,1499,176,624,1050,784,1180,790,974,987,163,345,1437,397,989,2730,160
0,0,1,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0
1723,1824,3082,4787,2762,1133,990,1449,1751,970,1038,867,1426,1216,684,2627,1628,2708,3486,1431
1115,1400,693,2396,3718,157,741,1838,963,1262,788,1322,1424,199,156,1484,1069,1322,1492,54
1209,639,1074,1136,1796,217,718,1661,1046,966,1014,694,976,310,468,964,555,799,798,295
1818,1433,3793,4838,2196,831,1425,2308,2294,2383,1979,1800,2545,871,1067,2546,2821,1669,1925,452
1257,112,92,3210,1811,1739,792,25,1394,24,981,28,48,144,3353,40,119,37,94,1267
3214,21499,1357,1869,4653,792,1682,3022,3367,9451,2714,13339,20139,6721,826,21209,12660,4787,3513,1851
53,90,1,1,11,0,28,22,65,341,27,113,206,366,0,212,195,0,241,19
1374,2442,1958,3621,1671,875,974,2194,1439,1877,1069,1467,1566,1189,1058,2091,1540,2350,2365,992
5,1,0,0,2,1,5,5,18,1503,8,5,0,897,0,133,4,0,131,1438
3819,2790,2106,5041,2928,1022,2915,2167,3673,1606,2007,1853,2094,1213,1417,2130,2517,3245,3930,3277
1125,452,3009,914,1157,1010,591,553,767,1523,779,832,1305,1554,1418,892,578,412,1089,1114
1306,495,2821,684,1371,251,494,961,734,727,838,848,1269,681,405,2064,361,378,2015,126
0,0,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2879,9860,4269,8209,7926,2753,1148,4458,3233,2804,1995,5152,6815,6788,4005,21379,13442,5913,16865,7656
3573,3604,4947,4473,4998,1110,2153,4480,3016,3389,2716,4948,6476,2088,1583,3663,3017,3957,4203,1985
1129,339,6,21,34,8,860,424,1787,276,987,156,225,89,11,832,163,22,116,20
1073,767,1826,1984,1159,803,561,1257,968,2617,883,1085,1569,905,807,2691,627,994,1868,697
1686,2026,3838,1699,3379,1042,1014,2707,1480,904,1390,2194,1872,1521,2348,1657,1516,2286,1812,531
985,461,586,192,222,118,510,1400,842,591,733,1461,2144,311,849,5187,372,902,297,46
8,9,9,4,15,1,3,7,3,16,5,15,29,0,13,38,21,6,2065,5
368,336,97,197,1294,79,47,83,208,4754,90,237,405,931,98,7666,271,33,1212,240
1056,621,811,1639,373,405,660,1256,1523,1730,1023,213,333,103,239,506,615,1699,636,24
10317,4544,7428,15626,3805,4998,11086,13412,13190,14093,7972,6737,9035,3730,4189,8531,2017,20868,4271,3070
4278,7401,15556,35139,9299,7075,2539,1694,6717,4830,2287,14834,22464,11933,4879,5140,10796,5824,6734,6836
1973,1333,7472,7257,2698,1182,977,858,1820,2309,1074,1899,1901,1228,766,1958,838,1420,1835,690
56,38,87,70,57,21,87,180,36,42,55,27,91,94,46,77,26,91,100,22
9717,10350,11756,21206,9443,7375,7734,10777,10238,10838,7359,9252,10722,9056,7260,12494,14884,12301,14442,10693
233,1014,938,1846,792,646,231,460,363,910,208,535,698,915,597,524,777,675,647,1217
4371,2374,2959,3404,2824,1684,3972,3217,4517,2676,3117,2225,3637,2573,1549,2386,2531,3606,4074,1831
4498,2601,2860,2224,1397,545,5593,7013,4977,1105,3471,1140,2140,563,784,3201,3253,8114,1555,869
4709,2275,4150,9789,5566,2799,2520,3673,3365,4044,2892,3821,5612,3177,1799,5941,4042,3821,5233,2212
2041,1214,474,3532,1418,200,1331,995,2168,2346,1169,831,813,349,273,1078,858,959,1462,170
1558,1054,4862,2679,3561,1311,894,1244,1119,2411,1313,1546,2233,2124,2164,1329,1190,1045,1259,1490
33,222,509,614,460,141,36,70,25,185,31,68,130,874,93,51,402,78,539,191
1037,1534,3356,2469,2345,805,722,1343,1078,1359,959,1435,1748,906,1295,1216,1057,1271,2188,968
1445,591,4,24,24,7,1112,1660,1803,125,1131,691,508,49,27,413,157,2968,4,11
5382,2538,1228,1691,3384,347,3449,4001,4543,1676,3872,1983,2732,808,615,2496,3876,4872,1228,1395
240,901,208,212,1082,26,39,342,49,494,121,746,877,341,53,185,290,1085,447,48
2075,1218,2498,2402,2042,1171,1572,1885,1958,1885,1929,2154,3275,1307,1939,2935,1875,2142,1591,999
862,1051,1578,1416,1202,603,644,880,969,875,818,846,1219,707,557,1222,834,997,1317,691
15019,6307,10620,15751,4531,2054,8659,12667,12683,22222,11302,9450,10218,2656,3785,9331,6192,11653,6795,1597
1193,2061,1337,1356,2377,273,648,2859,874,859,768,3500,3539,1185,341,1055,1749,2684,2851,381
3020,4152,3522,5283,2690,1422,2126,4036,3223,4558,2032,3111,3846,1888,1616,4875,4082,4347,5781,1930
678,750,1026,671,794,157,377,1114,440,776,448,740,1015,490,288,1045,476,933,233,165
2010,721,669,228,614,222,1077,1682,2296,885,1966,383,907,518,647,1643,627,1150,5905,711
9129,2548,1651,487,2215,418,4007,5355,7485,1184,8076,998,2412,1044,1237,3439,1733,3729,1061,1302
1180,1360,1563,2339,1239,622,878,1433,974,1069,820,926,1285,840,800,1433,949,1733,1634,847
345,724,4259,1984,2263,540,270,260,306,184,179,253,495,320,303,443,737,257,105,17
435,765,1670,1572,900,707,280,703,563,778,316,564,928,1036,718,1738,935,596,1173,706
1581,4590,1174,888,954,498,605,2519,1864,1110,915,698,2075,1027,599,11233,3499,2240,2267,261
291,257,197,462,396,69,216,133,268,5343,274,175,302,74,39,115,161,148,220,20
2568,1141,1053,1355,2194,230,1869,1783,2071,1190,1577,1626,2122,599,323,1790,862,1749,2473,445
1254,1459,1315,1872,2413,386,853,1360,1200,1286,1017,2224,2320,744,365,1304,1666,1201,2083,393
619,461,682,942,674,184,278,808,392,464,405,474,555,197,148,849,570,613,592,105
739,888,976,1657,1232,341,352,8139,399,384,428,1251,1704,668,532,1210,911,3713,1731,103
79,31,21,17,35,4,37,59,22,85,77,3,22,11,17,83,24,20,11,7
305,512,764,3308,2432,285,138,362,311,654,196,236,365,271,36,538,503,442,1235,200
67,94,66,203,45,37,20,188,61,31,45,49,26,78,22,252,94,68,65,43
92,14,154,55,150,9,65,28,78,32,96,66,57,139,21,32,22,7,38,8
1203,579,647,1135,579,105,737,907,1060,738,911,492,560,178,152,676,332,435,600,70
39,443,83,124,429,60,17,43,22,7515,30,186,365,10652,174,60,2090,22,27,20895
1707,2963,4415,3291,3272,980,971,3111,1471,2063,1334,2022,3392,2590,1450,1775,2376,2944,1491,971
5478,3353,3684,5822,3440,869,2707,2074,3799,2404,4342,2693,2890,184,1146,618,2093,1238,121,130
3828,2405,3763,2881,1980,1186,3154,5072,4461,1550,3241,2554,3126,2373,875,2783,2397,6721,2981,975
875,630,152,621,397,118,500,1046,865,1535,537,775,1146,274,191,144,738,2036,1228,47
509,445,333,992,769,96,253,758,354,560,343,313,380,127,113,701,258,466,397,86
1006,541,1095,1160,652,331,852,1043,1431,982,783,559,636,380,308,611,467,1215,692,269
898,1077,2478,2252,1396,1398,607,1617,818,784,657,892,1115,1943,1558,1781,1017,1538,883,1699
3,6,1,5,4,1,4,1,0,6,4,0,4,6,0,8,1,0,1,0
383,792,1553,1441,1493,517,223,404,350,517,373,505,851,660,1275,772,1994,298,219,481
6260,7073,5334,11290,6032,2431,4090,10844,6047,6960,4965,6027,9277,4256,3139,8971,10424,10773,8502,3371
32,8,50,27,19,5,12,80,27,92,18,20,30,28,10,561,14,24,48,4
4353,1965,1847,1127,2723,936,3783,2847,4935,5654,3513,1357,1712,1982,944,3706,1005,6650,1252,8081
4062,6340,1787,2428,3175,885,3596,4216,5712,1992,3574,3703,5314,2365,946,14046,4491,6790,8544,950
0,61,26,2,59,1,6,6,8,21,1,7,15,8,6,6,367,15,103,4
15,4487,104,24,664,1,6,42,5,826,5,223,365,6,40,61,6125,88,45,61
1,27,18,7,9,1,2,10,0,0,2,711,348,10,0,0,2,1,6,26
368,1228,137,1199,6678,416,276,162,1045,1102,785,2351,7831,2342,2427,2191,1762,619,510,270
1065,866,1840,1329,637,1050,682,30,815,248,1039,502,831,882,456,712,1911,37,956,2692
3285,1734,2250,2042,4867,993,2667,2147,3079,1370,2890,1383,2738,1877,1286,1452,2022,3483,1678,2419
6309,2922,6979,4553,5154,1463,3282,3408,8793,1716,7255,2100,4537,3392,1045,2862,2337,4987,7869,687
17,16,49,56,75,10,14,169,12,31,16,97,99,2,9,33,31,68,2,2
